entry_momentum,range_efficiency,trailing_sigma,cooldown_days,cagr,max_drawdown,sharpe,recent_cagr,recent_max_drawdown,stress_cagr,annual_turnover,emergency_exits,range_days
0.0,0.2,2.0,3,0.08229520410685143,-0.19049503616474195,0.8355447760085241,0.05655187815585716,-0.05779271672935404,0.07816841359412163,3.8186788726147327,49,353
0.0,0.2,2.0,7,0.08229520410685143,-0.19049503616474195,0.8355447760085241,0.05655187815585716,-0.05779271672935404,0.07816841359412163,3.8186788726147327,49,353
0.0,0.2,2.5,3,0.08229520410685143,-0.19049503616474195,0.8355447760085241,0.05655187815585716,-0.05779271672935404,0.07816841359412163,3.8186788726147327,49,353
0.0,0.2,2.5,7,0.08229520410685143,-0.19049503616474195,0.8355447760085241,0.05655187815585716,-0.05779271672935404,0.07816841359412163,3.8186788726147327,49,353
0.0,0.2,3.0,3,0.08229520410685143,-0.19049503616474195,0.8355447760085241,0.05655187815585716,-0.05779271672935404,0.07816841359412163,3.8186788726147327,49,353
0.0,0.2,3.0,7,0.08229520410685143,-0.19049503616474195,0.8355447760085241,0.05655187815585716,-0.05779271672935404,0.07816841359412163,3.8186788726147327,49,353
0.05,0.2,2.0,3,0.0805633727849242,-0.19049503616474195,0.8193701701189827,0.057338728118013105,-0.05779271672935404,0.07646171292000159,3.8019372261174236,49,353
0.05,0.2,2.0,7,0.0805633727849242,-0.19049503616474195,0.8193701701189827,0.057338728118013105,-0.05779271672935404,0.07646171292000159,3.8019372261174236,49,353
0.05,0.2,2.5,3,0.0805633727849242,-0.19049503616474195,0.8193701701189827,0.057338728118013105,-0.05779271672935404,0.07646171292000159,3.8019372261174236,49,353
0.05,0.2,2.5,7,0.0805633727849242,-0.19049503616474195,0.8193701701189827,0.057338728118013105,-0.05779271672935404,0.07646171292000159,3.8019372261174236,49,353
0.05,0.2,3.0,3,0.0805633727849242,-0.19049503616474195,0.8193701701189827,0.057338728118013105,-0.05779271672935404,0.07646171292000159,3.8019372261174236,49,353
0.05,0.2,3.0,7,0.0805633727849242,-0.19049503616474195,0.8193701701189827,0.057338728118013105,-0.05779271672935404,0.07646171292000159,3.8019372261174236,49,353
0.1,0.2,2.0,3,0.0805633727849242,-0.19049503616474195,0.8193701701189827,0.057338728118013105,-0.05779271672935404,0.07646171292000159,3.8019372261174236,49,353
0.1,0.2,2.0,7,0.0805633727849242,-0.19049503616474195,0.8193701701189827,0.057338728118013105,-0.05779271672935404,0.07646171292000159,3.8019372261174236,49,353
0.1,0.2,2.5,3,0.0805633727849242,-0.19049503616474195,0.8193701701189827,0.057338728118013105,-0.05779271672935404,0.07646171292000159,3.8019372261174236,49,353
