date,equity,benchmark,drawdown,gross_exposure
2021-07-30,1.0,1.0546663401860938,0.0,0.0
2021-07-31,1.0,1.0358295771410297,0.0,0.0
2021-08-01,1.0,0.9952851874431574,0.0,0.0
2021-08-02,1.0,0.9781549516775438,0.0,0.0
2021-08-03,1.0,0.954555903135213,0.0,0.0
2021-08-04,1.0,0.9928340845717941,0.0,0.0
2021-08-05,1.0,1.0211379513677206,0.0,0.0
2021-08-06,1.0,1.0705847666829909,0.0,0.0
2021-08-07,1.0,1.1139000769561351,0.0,0.0
2021-08-08,1.0,1.0944411685339357,0.0,0.0
2021-08-09,1.0,1.1559161278071501,0.0,0.0
2021-08-10,1.0,1.138923313711185,0.0,0.0
2021-08-11,1.0012110983486922,1.1372392736140404,0.0,0.21066592095298098
2021-08-12,0.9960784792168784,1.1094551105869659,-0.005126410544468607,0.21066592095298098
2021-08-13,1.0136545411260598,1.1942767622455206,0.0,0.21066592095298098
2021-08-14,1.0102120546417686,1.1763294921894525,-0.0033961141045814047,0.21066592095298098
2021-08-15,1.0220356765943774,1.1738184234986062,0.0,0.21066592095298098
2021-08-16,1.025543411622636,1.1468263090038682,0.0,0.21066592095298098
2021-08-17,1.0221776948599774,1.116441128556723,-0.0032818861927388365,0.21066592095298098
2021-08-18,1.0289196220016392,1.1170982539952232,0.0,0.19515040636675776
2021-08-19,1.0364412527539777,1.16851144847437,0.0,0.19515040636675776
2021-08-20,1.0476504434115166,1.2326149095015844,0.0,0.19515040636675776
2021-08-21,1.042584017684176,1.2200020988036824,-0.004835988720476747,0.19515040636675776
2021-08-22,1.0429036187231526,1.2305935616698487,-0.004530924143845816,0.19515040636675776
2021-08-23,1.0466984173200946,1.236625123679503,-0.000908724944860273,0.19515040636675776
2021-08-24,1.0371945906725129,1.1911510439049744,-0.00998028760905767,0.19515040636675776
2021-08-25,1.0421018570344038,1.2239598428895533,-0.0052962191845636886,0.20268212168703337
2021-08-26,1.0373878166003607,1.1701505142069022,-0.009795850205281398,0.20268212168703337
2021-08-27,1.0546316428725993,1.225748823170793,0.0,0.20268212168703337
2021-08-28,1.058781132375791,1.2216036858990378,0.0,0.20268212168703337
2021-08-29,1.0570361579160457,1.2183030672516668,-0.001648097426736106,0.20268212168703337
2021-08-30,1.0623279343560372,1.1737309733451935,0.0,0.20268212168703337
2021-08-31,1.0650163151759537,1.1770965549636707,0.0,0.20268212168703337
2021-09-01,1.0762674284794376,1.2200270845618,0.0,0.19925481504884512
2021-09-02,1.0850552745498405,1.2305760716391656,0.0,0.19925481504884512
2021-09-03,1.096504590039887,1.2490430454640853,0.0,0.19925481504884512
2021-09-04,1.0928257061752844,1.2469517375096195,-0.0033551011988639523,0.19925481504884512
2021-09-05,1.0989998684159519,1.2934927091557813,0.0,0.19925481504884512
2021-09-06,1.1091281634765855,1.3159324185214432,0.0,0.19925481504884512
2021-09-07,1.0931226277712658,1.1707876510389081,-0.014430735989202526,0.19925481504884512
2021-09-08,1.0972954116846814,1.150694104360515,-0.01066851621079945,0.17994839379842054
2021-09-09,1.0961959257017762,1.1591717720899093,-0.011659822733445901,0.17994839379842054
2021-09-10,1.0876157329157765,1.1206312401930905,-0.01939580227895199,0.17994839379842054
2021-09-11,1.0890665259599934,1.1284992554244084,-0.018087754127267375,0.17994839379842054
2021-09-12,1.0916549990420474,1.1498670757668135,-0.015753963347002298,0.17994839379842054
2021-09-13,1.086314948775592,1.1228874541511344,-0.02056860104380087,0.17994839379842054
2021-09-14,1.0901221388812532,1.1770515805990591,-0.017136003954455137,0.17994839379842054
2021-09-15,1.0949837431116982,1.2025270595760422,-0.012752737538059944,0.18437585108938245
2021-09-16,1.0913481736587642,1.192862568336049,-0.016030599892161712,0.18437585108938245
2021-09-17,1.086526165444432,1.1817339116703485,-0.020378166181721502,0.18437585108938245
2021-09-18,1.0891488482547929,1.2069495387629057,-0.01801353160050234,0.13828188831703683
2021-09-19,1.0853774968473486,1.1804371508240308,-0.02141381619486593,0.13828188831703683
2021-09-20,1.071161655527199,1.0749023056857596,-0.03423094751320688,0.13828188831703683
2021-09-21,1.0658551967911682,1.0176774238683957,-0.039015298781862384,0.09218792554469123
2021-09-22,1.0657569378116452,1.0881647460947266,-0.03910388996794778,0.0
2021-09-23,1.0657569378116452,1.121033510898788,-0.03910388996794778,0.0
2021-09-24,1.0657569378116452,1.0695603506001583,-0.03910388996794778,0.0
2021-09-25,1.0657569378116452,1.0663421849545762,-0.03910388996794778,0.0
2021-09-26,1.0657569378116452,1.0786876480406171,-0.03910388996794778,0.0
2021-09-27,1.0657569378116452,1.0532221633668812,-0.03910388996794778,0.0
2021-09-28,1.0657569378116452,1.024880817933778,-0.03910388996794778,0.0
2021-09-29,1.0657569378116452,1.0375935716641518,-0.03910388996794778,0.0
2021-09-30,1.0657569378116452,1.0949009064833048,-0.03910388996794778,0.0
2021-10-01,1.0657569378116452,1.2028069000669621,-0.03910388996794778,0.0
2021-10-02,1.0657569378116452,1.1903365081903319,-0.03910388996794778,0.0
2021-10-03,1.0657569378116452,1.204488441588295,-0.03910388996794778,0.0
2021-10-04,1.0657569378116452,1.2297265558631585,-0.03910388996794778,0.0
2021-10-05,1.0657569378116452,1.2859694973864904,-0.03910388996794778,0.0
2021-10-06,1.0657569378116452,1.3820347401980877,-0.03910388996794778,0.0
2021-10-07,1.0657569378116452,1.343948949099014,-0.03910388996794778,0.0
2021-10-08,1.0657569378116452,1.3478792088509555,-0.03910388996794778,0.0
2021-10-09,1.0657569378116452,1.373057357306336,-0.03910388996794778,0.0
2021-10-10,1.0657569378116452,1.3656415842969516,-0.03910388996794778,0.0
2021-10-11,1.0657569378116452,1.4359689976713284,-0.03910388996794778,0.0
2021-10-12,1.0657569378116452,1.399254924692926,-0.03910388996794778,0.0
